id,name,lat,lng,accessible
1,Portão Principal,-7.138840,-34.850981,TRUE
2,CCHLA,-7.140655,-34.849680,TRUE
3,CCSA,-7.141219,-34.850395,TRUE
4,CCS,-7.135149,-34.841878,TRUE
5,CCS,-7.135533,-34.841683,TRUE
6,CCS,-7.136397,-34.841865,TRUE
7,CCS,-7.136306,-34.842551,TRUE
8,CCS,-7.136378,-34.842513,TRUE
9,CCM,-7.136579722987040,-3.484062369965110,VERDADEIRO
10,CCEN,-7.140337,-34.845266,VERDADEIRO
11,CCEN,-7.139714,-34.845487,VERDADEIRO
12,CCEN,-7.139557,-34.845484,VERDADEIRO
13,CCEN,-7.139082,-34.845537,VERDADEIRO
14,CCEN,-7.138464,-34.845580,VERDADEIRO
15,CCEN,-7.138163,-34.845674,VERDADEIRO
16,CCEN,-7.137340,-34.845682,VERDADEIRO
17,CCEN,-7.137129,-34.845712,VERDADEIRO
18,C.VIVENCIAS,-7.137587,-34.847446,VERDADEIRO
19,C.VIVENCIAS,-7.138018,-34.847854,VERDADEIRO
20,C.VIVENCIAS,-7.138053,-34.847990,VERDADEIRO
21,C.VIVENCIAS,-7.138092,-34.848042,VERDADEIRO
22,C.VIVENCIAS,-7.136642,-34.848224,VERDADEIRO
23,CCTA - Bloco E,-7.1385120,-34.8500406,VERDADEIRO
24,CCTA - Parada de Ônibus,-7.1385746,-34.8497060,VERDADEIRO
25,CCTA,-7.1373986,-34.8504044,VERDADEIRO
26,CCTA,-7.1372226,-34.8499538,VERDADEIRO
27,CCTA,-7.1373666,-34.8499005,VERDADEIRO
28,CCTA,-7.1376524,-34.8499424,VERDADEIRO
29,CCTA,-7.1376191,-34.8498214,VERDADEIRO
30,CCTA,-7.1380273,-34.8498683,VERDADEIRO
31,CCTA,-7.1381241,-34.8496363,VERDADEIRO